Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,word,log_freq,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,subject,survey_code,responses,type,view_history,trial_category,stimulus,key_press,sensible,critical,Class,practice,order,correct,string,same,version_with_order,item_version,item,source,different_frame,ambiguity_type,response,correct_response,Gender,Native_Speaker,Mobile_Device,Age,B1,B2
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1057,,html-keyboard-response,173,224918,0.0-82.0-1.0,k324bemv2g,k324bemv2g,,,,,She had a mental block.<p>,77,S,yes,N,main,second,,block,FALSE,M1_b_M2_a,M2_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,21,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,877,,html-keyboard-response,164,396818,0.0-78.0-0.0,hpzw06nj11,hpzw06nj11,,,,,She had a wooden block.<p>,77,S,yes,N,main,first,,block,FALSE,M1_b_M2_a,M1_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,967,,html-keyboard-response,165,397786,0.0-78.0-1.0,hpzw06nj11,hpzw06nj11,,,,,She had a mental block.<p>,77,S,yes,N,main,second,,block,FALSE,M1_b_M2_a,M2_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1902,,html-keyboard-response,236,443496,0.0-114.0-0.0,2ohmyooxzr,2ohmyooxzr,,,,,She had a wooden block.<p>,77,S,yes,N,main,first,,block,FALSE,M1_b_M2_b,M1_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,18,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,879,,html-keyboard-response,237,444376,0.0-114.0-1.0,2ohmyooxzr,2ohmyooxzr,,,,,She had a writer's block.<p>,77,S,yes,N,main,second,,block,FALSE,M1_b_M2_b,M2_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,18,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1256,,html-keyboard-response,60,87423,0.0-26.0-0.0,84jgy23gu3,84jgy23gu3,,,,,She had a mental block.<p>,77,S,yes,N,main,first,,block,TRUE,M2_a_M2_b,M2_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,732,,html-keyboard-response,61,88156,0.0-26.0-1.0,84jgy23gu3,84jgy23gu3,,,,,She had a writer's block.<p>,77,S,yes,N,main,second,,block,TRUE,M2_a_M2_b,M2_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,39,,html-keyboard-response,160,195281,0.0-76.0-0.0,yfdme97bln,yfdme97bln,,,,,She had a wooden block.<p>,88,S,yes,N,main,first,,block,FALSE,M1_b_M2_a,M1_b,34,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Female,Yes,No,21,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,156,,html-keyboard-response,161,195438,0.0-76.0-1.0,yfdme97bln,yfdme97bln,,,,,She had a mental block.<p>,77,S,yes,N,main,second,,block,FALSE,M1_b_M2_a,M2_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1001,,html-keyboard-response,144,189796,0.0-68.0-0.0,28x0upynh7,28x0upynh7,,,,,She had a wooden block.<p>,77,S,yes,N,main,first,,block,FALSE,M1_b_M2_a,M1_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,21,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1717,,html-keyboard-response,145,191514,0.0-68.0-1.0,28x0upynh7,28x0upynh7,,,,,She had a mental block.<p>,77,S,yes,N,main,second,,block,FALSE,M1_b_M2_a,M2_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,21,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,2522,,html-keyboard-response,28,89398,0.0-10.0-0.0,ro36gzok3b,ro36gzok3b,,,,,She had a writer's block.<p>,77,S,yes,N,main,first,,block,TRUE,M2_b_M2_a,M2_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,29,2,Chair
